record_role,schema_version,as_of,source_authorities,path,url,wordpress_type,content_kind,final_disposition,content_state,revision_scope,revision_id,revision_digest,revision_review_decision,semantic_review_status,target_mapping_status,delivery_status,dev_execution_handoff_id,dev_draft_post_id,robot_ready,blocker_codes,next_action
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/,https://ekologus.dev.proudsite.pl,page,landing_or_hub,keep,written_approved,current,content_revision_4584d3a99e9f4169bc306186926d0a13,cdb2caee3df408441283d813a6deae8a016a6127792887314e5510d9f500790c,approved,zero_findings,blocked_human_mapping,blocked_human_mapping,,,false,blocked_human_mapping,confirm_exact_target_mapping
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/3-kroki-do-bezpiecznego-funkcjonowania-przedsiebiorstwa-w-zgodzie-z-przepisami-w-obszarze-ochrony-srodowiska,https://ekologus.dev.proudsite.pl/3-kroki-do-bezpiecznego-funkcjonowania-przedsiebiorstwa-w-zgodzie-z-przepisami-w-obszarze-ochrony-srodowiska,post,editorial,keep,not_written,none,,,,not_generated,,candidate_blocked,,,false,cta_target_verification_required;current_revision_missing;current_work_item_missing;gsc_query_metric_context_absent;internal_link_verification_required;no_exact_gsc_page_facts;owner_review_required;page_asset_owner_review_required;seo_meta_owner_mapping_missing;source_claim_review_required;target_mapping_confirmation_required;target_mapping_observation_only;update_only_readback_contract_missing,prepare_evidence_bound_revision
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/analiza-pozwolen-zintegrowanych,https://ekologus.dev.proudsite.pl/analiza-pozwolen-zintegrowanych,post,editorial,keep,written_approved,current,content_revision_f586a5fd2ce441b4930c7c39b654ef8f,14725e7788c98aedb27c16cdcb6e70280f69498be59dde2365f03672ca3f796f,approved,zero_findings,confirmed_the_content,blocked_target_unavailable,,,false,target_unavailable,configure_wordpress_dev_rest_then_create_action_and_readback
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/animacja-historii-i-glownych-uslug-ekologus,https://ekologus.dev.proudsite.pl/animacja-historii-i-glownych-uslug-ekologus,post,editorial,noindex,not_required,none,,,,not_required,,audit_only_no_content,,,false,non_survivor_noindex,execute_noindex_policy
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/author/conjure8415,https://ekologus.dev.proudsite.pl/author/conjure8415,,taxonomy_or_system,remove,not_required,none,,,,not_required,,audit_only_no_content,,,false,non_survivor_remove,execute_remove_policy
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/badania-obecnosci-radonu,https://ekologus.dev.proudsite.pl/badania-obecnosci-radonu,post,editorial,keep,not_written,none,,,,not_generated,,candidate_blocked,,,false,content_flag_guarantee;content_flag_historic_date;cta_target_verification_required;current_revision_missing;exact_base_source_context_missing;internal_link_verification_required;owner_review_required;page_asset_owner_review_required;seo_meta_owner_mapping_missing;service_binding_missing;source_claim_review_required;source_pack_work_item_binding_unverified;target_mapping_confirmation_required;target_mapping_observation_only;typed_target_context_absent;unknown_service_card;update_only_readback_contract_missing;work_item_identity_fork,fetch_full_public_source_and_resolve_service_binding
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/baza-wiedzy,https://ekologus.dev.proudsite.pl/baza-wiedzy,page,landing_or_hub,noindex,not_required,none,,,,not_required,,audit_only_no_content,,,false,non_survivor_noindex,execute_noindex_policy
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/bdo-co-musi-wiedziec-przedsiebiorca,https://ekologus.dev.proudsite.pl/bdo-co-musi-wiedziec-przedsiebiorca,post,editorial,keep,written_approved,current,content_revision_52d07d4011c04168842c87aeb26785a1,a8f02b1b0223651e105ced3c7e38e506d77f7f8a543b6f5ccbda99f93874b6f8,approved,zero_findings,,dev_draft_verified,wordpress_draft_handoff_content_work_item_content_decision_https___www_ekologus_pl_bdo_co_musi_wiedziec_przedsiebiorca_content_revision_52d07d4011c04168842c87aeb26785a1,1991,false,existing_verified_draft_or_applied_action;planning_read_error;source_pack_work_item_binding_unverified;work_item_identity_fork,audit_current_legal_freshness_and_readback
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/bdo-kolejny-obowiazek-dla-przedsiebiorcy,https://ekologus.dev.proudsite.pl/bdo-kolejny-obowiazek-dla-przedsiebiorcy,post,editorial,noindex,not_required,none,,,,not_required,,audit_only_no_content,,,false,non_survivor_noindex,execute_noindex_policy
current_state,content_status_214_v1,2026-09-10T12:00:00+02:00,WILQ SQLite;canonical content ledger;dev execution readback;dev sitemap inventory,/bilans-lzo-przekroczenie-standardow-emisyjnych-a-obowiazek-raportowy,https://ekologus.dev.proudsite.pl/bilans-lzo-przekroczenie-standardow-emisyjnych-a-obowiazek-raportowy,post,editorial,keep,not_written,none,,,,not_generated,,candidate_blocked,,,false,content_flag_historic_date;cta_target_verification_required;current_revision_missing;current_work_item_missing;internal_link_verification_required;owner_review_required;page_asset_owner_review_required;seo_meta_owner_mapping_missing;source_claim_review_required;target_mapping_confirmation_required;target_mapping_observation_only;update_only_readback_contract_missing,prepare_evidence_bound_revision
